Edwardsport;38.8127;-87.2511;;Edwardsport38.8127-87.2511
Williams;38.8147;-86.6446;;Williams38.8147-86.6446
Russellville;38.8188;-87.53;;Russellville38.8188-87.53
Burns City;38.8203;-86.8927;;Burns City38.8203-86.8927
Medora;38.8245;-86.1712;;Medora38.8245-86.1712
Patriot;38.8366;-84.8293;;Patriot38.8366-84.8293
Odon;38.8423;-86.9894;;Odon38.8423-86.9894
Vallonia;38.8462;-86.0992;;Vallonia38.8462-86.0992
Bedford;38.8602;-86.4895;;Bedford38.8602-86.4895
Freelandville;38.8653;-87.3102;;Freelandville38.8653-87.3102
Canaan;38.8661;-85.2996;;Canaan38.8661-85.2996
Westphalia;38.8665;-87.2277;;Westphalia38.8665-87.2277
East Enterprise;38.8702;-84.9889;;East Enterprise38.8702-84.9889
Oaktown;38.8717;-87.4412;;Oaktown38.8717-87.4412
Elnora;38.8762;-87.0846;;Elnora38.8762-87.0846
Brownstown;38.8789;-86.0479;;Brownstown38.8789-86.0479
Dupont;38.8915;-85.5169;;Dupont38.8915-85.5169
Oolitic;38.8935;-86.5254;;Oolitic38.8935-86.5254
Crane;38.8943;-86.9012;;Crane38.8943-86.9012
Sandborn;38.8967;-87.1849;;Sandborn38.8967-87.1849
Flat Rock;38.9037;-87.6734;;Flat Rock38.9037-87.6734
Scotland;38.909;-86.9048;;Scotland38.909-86.9048
Avoca;38.9172;-86.5557;;Avoca38.9172-86.5557
Newberry;38.9238;-87.0193;;Newberry38.9238-87.0193
Rabbit Hash;38.924;-84.8503;;Rabbit Hash38.924-84.8503
Ste. Marie;38.93;-88.0278;;Ste. Marie38.93-88.0278
Owensburg;38.9305;-86.7292;;Owensburg38.9305-86.7292
Seymour;38.9476;-85.891;;Seymour38.9476-85.891
Rising Sun;38.9531;-84.8545;;Rising Sun38.9531-84.8545
Carlisle;38.9608;-87.4015;;Carlisle38.9608-87.4015
Hayden;38.9714;-85.739;;Hayden38.9714-85.739
Freetown;38.9773;-86.127;;Freetown38.9773-86.127
Belleview;38.9792;-84.8249;;Belleview38.9792-84.8249
Vernon;38.9854;-85.6102;;Vernon38.9854-85.6102
Lyons;38.9884;-87.0812;;Lyons38.9884-87.0812
Willow Hill;38.9958;-88.0218;;Willow Hill38.9958-88.0218
Stoy;38.9968;-87.8336;;Stoy38.9968-87.8336
Palestine;39.0016;-87.6126;;Palestine39.0016-87.6126
Oblong;39.0022;-87.9107;;Oblong39.0022-87.9107
Robinson;39.0089;-87.7333;;Robinson39.0089-87.7333
North Vernon;39.017;-85.6317;;North Vernon39.017-85.6317
Harrodsburg;39.018;-86.5532;;Harrodsburg39.018-86.5532
Dillsboro;39.0185;-85.0531;;Dillsboro39.0185-85.0531
Bloomfield;39.026;-86.9375;;Bloomfield39.026-86.9375
Butlerville;39.0326;-85.5131;;Butlerville39.0326-85.5131
Switz City;39.0349;-87.0538;;Switz City39.0349-87.0538
Linton;39.0356;-87.1586;;Linton39.0356-87.1586
Country Squire Lakes;39.038;-85.6849;;Country Squire Lakes39.038-85.6849
Petersburg;39.0531;-84.8572;;Petersburg39.0531-84.8572
Merom;39.056;-87.5672;;Merom39.056-87.5672
Smithville-Sanders;39.0597;-86.5108;;Smithville-Sanders39.0597-86.5108
Jonesville;39.0598;-85.8878;;Jonesville39.0598-85.8878
Versailles;39.0636;-85.2564;;Versailles39.0636-85.2564
