Upland;40.4639;-85.5008
Kokomo;40.464;-86.1277
Rankin;40.4644;-87.8959
Montmorenci;40.4705;-87.0354
Greentown;40.4766;-85.9623
Jonesboro;40.4796;-85.6302
Burlington;40.4822;-86.3947
Buck Creek;40.4874;-86.7622
Otterbein;40.4882;-87.0854
Gas City;40.4889;-85.5946
Ambia;40.4894;-87.5165
Pennville;40.492;-85.147
Sims;40.5006;-85.854
Swayzee;40.5066;-85.8244
Battle Ground;40.5076;-86.8527
Herbst;40.5145;-85.7815
Loda;40.516;-88.0756
Boswell;40.5173;-87.3756
Colburn;40.5188;-86.7125
Oxford;40.5214;-87.2482
Americus;40.5254;-86.7476
Bryant;40.5359;-84.9634
Wellington;40.5411;-87.6799
Flora;40.5455;-86.5226
Montpelier;40.5494;-85.2874
Marion;40.5496;-85.66
Cissna Park;40.567;-87.8922
Sweetser;40.5687;-85.7669
Mier;40.5748;-85.8234
Galveston;40.5767;-86.1924
Converse;40.5773;-85.878
Delphi;40.5834;-86.6668
Buckley;40.597;-88.0375
Geneva;40.5975;-84.9568
Brookston;40.6008;-86.8665
Amboy;40.6017;-85.9271
Camden;40.6099;-86.5397
Landess;40.6126;-85.5592
Van Buren;40.6157;-85.5039
Fowler;40.617;-87.3184
Jalapa;40.6263;-85.7464
Milford;40.6276;-87.6963
Poneto;40.6568;-85.2225
Berne;40.6572;-84.9555
Grissom AFB;40.6585;-86.148
Bunker Hill;40.6602;-86.1015
Walton;40.6622;-86.2441
Chalmers;40.6625;-86.8678
Yeoman;40.6677;-86.7238
Somerset;40.6695;-85.8321
La Fontaine;40.6739;-85.7221
Earl Park;40.6856;-87.42
Warren;40.6878;-85.425
Onward;40.6947;-86.1948
Vera Cruz;40.7016;-85.0795
Woodland;40.715;-87.731
Onarga;40.7153;-88.0108
Mount Etna;40.741;-85.5618
Bluffton;40.7424;-85.173
Monroe;40.7451;-84.941
Monticello;40.7455;-86.7669
Willshire;40.7465;-84.7924
Logansport;40.7472;-86.3519
Reynolds;40.7492;-86.8743
Idaville;40.7588;-86.6505
Wolcott;40.7591;-87.042
Peru;40.7594;-86.0757
Burnettsville;40.7612;-86.5947
Gilman;40.7627;-87.9973
Goodland;40.7637;-87.2952
Remington;40.765;-87.1556
Sheldon;40.771;-87.5657
Crescent City;40.7717;-87.8564
Kentland;40.774;-87.4465
Watseka;40.7751;-87.7304
Norway;40.7797;-86.7719
Wabash;40.8034;-85.8301
Mexico;40.8143;-86.1113
Danforth;40.822;-87.9778
Markle;40.8274;-85.3393
Decatur;40.8286;-84.9282
Iroquois;40.8288;-87.5844
Uniondale;40.8299;-85.2415
Lagro;40.8392;-85.7276
Andrews;40.8604;-85.6023
Monon;40.8642;-86.8786
Royal Center;40.8643;-86.5001
Denver;40.8647;-86.0772
Brook;40.8664;-87.3653
Ossian;40.877;-85.1682
Ashkum;40.8783;-87.9533
Huntington;40.8815;-85.5053
Donovan;40.8848;-87.6139
Buffalo;40.888;-86.7374
Collegeville;40.9058;-87.1612
Roann;40.9111;-85.9245
Martinton;40.9154;-87.7264
Zanesville;40.9155;-85.2807
Clifton;40.9348;-87.9343
Rensselaer;40.9375;-87.1684
Morocco;40.9445;-87.4503
Fulton;40.9467;-86.2641
Hoagland;40.952;-84.9955
Mount Ayr;40.9523;-87.299
Beaverville;40.9534;-87.6546
Macy;40.9582;-86.1288
Roanoke;40.9639;-85.3761
Papineau;40.9677;-87.7162
Monroeville;40.9732;-84.8673
Star City;40.9746;-86.5613
Laketon;40.9807;-85.8393
Francesville;40.9853;-86.8834
North Manchester;41.0044;-85.775
Chebanse;41.0058;-87.9098
Kewanna;41.0194;-86.4125
St. Anne;41.023;-87.7179
Akron;41.0388;-86.0249
Winamac;41.0535;-86.6037
Rochester;41.059;-86.196
New Haven;41.0675;-85.0175
Silver Lake;41.0744;-85.8922
Medaryville;41.0803;-86.8905
South Whitley;41.0838;-85.6278
Fort Wayne;41.0886;-85.1437
Sidney;41.1049;-85.7425
Woodburn;41.1287;-84.8501
Claypool;41.1306;-85.8826
Lake Village;41.1308;-87.439
Roselawn;41.1535;-87.2881
Burket;41.155;-85.9687
Monterey;41.1561;-86.4822
Columbia City;41.1612;-85.4855
Momence;41.164;-87.663
Bradley;41.1641;-87.8452
Mentone;41.174;-86.0382
Larwill;41.1792;-85.6243
Bourbonnais;41.183;-87.878
Wheatfield;41.1911;-87.0528
Schneider;41.1925;-87.4457
Shelby;41.1934;-87.3426
Harlan;41.1966;-84.9245
De Motte;41.1988;-87.1973
San Pierre;41.1989;-86.8921
Pierceton;41.1992;-85.7032
Grabill;41.2098;-84.9681
Huntertown;41.2155;-85.1715
Culver;41.2159;-86.4236
North Judson;41.2161;-86.7769
Winona Lake;41.2166;-85.8106
Leo-Cedarville;41.2199;-85.0192
Bass Lake;41.2304;-86.5845
Churubusco;41.231;-85.3197
Argos;41.2379;-86.2523
;;
Warsaw;41.2448;-85.8464
;;
Tri-Lakes;41.2507;-85.4433
Etna Green;41.2755;-86.0461
Knox;41.291;-86.621
Lowell;41.2921;-87.4184
Bourbon;41.2993;-86.1167
St. Joe;41.3147;-84.9012
Kouts;41.3172;-87.0269
La Crosse;41.3179;-86.8896
North Webster;41.324;-85.6979
Hebron;41.3246;-87.2017
Symerton;41.3255;-88.0532
Leesburg;41.3307;-85.8489
Peotone;41.3312;-87.7937
